marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
COLCAFE,Café Colcafé clásico instantáneo x85g,11590,85,136.35,gr,despensa
ZENU,Arvejas con Zanahoria Zenú x 300 g.,4990,300,16.63,gr,despensa
LA CONSTANCIA,Salsa la constancia mostaza x400g,9990,400,24.98,gr,despensa
MCCORMICK,Ajo Mccormick polvo x88g,9190,110,83.55,gr,despensa
LA MUNECA,Pasta Tornillo Pastas La Muñeca x500g Ahorre 30%,4190,500,8.38,gr,despensa
FINO,Aceite Fino soya girasol x3L,35990,4285,8.4,ml,despensa
LA CORUNA,Alcaparra La Coruña Vinagre x 250g,6990,130,53.77,gr,despensa
FRUCO,Salsa para carne Fruco x 254 ml,7990,363,22.02,ml,despensa
DONAREPA,Harina Doñarepa extrafina maíz blanco x500g,2790,500,5.58,gr,despensa
EL REY,Finas hierbas El Rey bolsa x15g,3090,15,206,gr,despensa
CAROLINA,Granola Carolina tradicional x500g,8790,500,17.58,gr,despensa
FRUCO,Salsa negra Fruco x 155 ml,5990,250,23.96,gr,despensa
LA CONSTANCIA,Mayonesa Dp x 200g Constancia,4190,200,20.95,gr,despensa
